Conference,Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Western Conference,Phoenix Suns*,64,18,.780,—,114.8,107.3,6.94
Western Conference,Memphis Grizzlies*,56,26,.683,8.0,115.6,109.9,5.37
Western Conference,Golden State Warriors*,53,29,.646,11.0,111.0,105.5,5.52
Western Conference,Dallas Mavericks*,52,30,.634,12.0,108.0,104.7,3.12
Western Conference,Utah Jazz*,49,33,.598,15.0,113.6,107.6,5.67
Western Conference,Denver Nuggets*,48,34,.585,16.0,112.7,110.4,2.16
Western Conference,Minnesota Timberwolves*,46,36,.561,18.0,115.9,113.3,2.53
Western Conference,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,0.09
Western Conference,New Orleans Pelicans*,36,46,.439,28.0,109.3,110.3,-0.84
Western Conference,San Antonio Spurs,34,48,.415,30.0,113.2,113.0,0.02
Western Conference,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,-3.08
Western Conference,Sacramento Kings,30,52,.366,34.0,110.3,115.8,-5.26
Western Conference,Portland Trail Blazers,27,55,.329,37.0,106.2,115.1,-8.55
Western Conference,Oklahoma City Thunder,24,58,.293,40.0,103.7,111.8,-7.90
Western Conference,Houston Rockets,20,62,.244,44.0,109.7,118.2,-8.26
