Category,TeamR,Lg Rank,Team,Year
W,53,4.0,Denver,2023
L,29,27.0,Denver,2023
PW,49,6.0,Denver,2023
PL,33,6.0,Denver,2023
MOV,3.33,28.0,Denver,2023
SOS,-0.29,6.0,Denver,2023
SRS,3.04,5.0,Denver,2023
ORtg,117.6,15.0,Denver,2023
DRtg,114.2,23.0,Denver,2023
NetRtg,3.4,6.0,Denver,2023
Pace,98.1,25.0,Denver,2023
FTr,0.259,20.0,Denver,2023
3PAr,0.361,21.0,Denver,2023
eFG%,0.573,1.0,Denver,2023
TOV%,13.1,24.0,Denver,2023
ORB%,24.8,11.0,Denver,2023
FT/FGA,0.194,25.0,Denver,2023
eFG%,0.543,15.0,Denver,2023
TOV%,12.2,17.0,Denver,2023
DRB%,76.4,12.0,Denver,2023
FT/FGA,0.201,9.0,Denver,2023
Arena,Ball Arena,,Denver,2023
Attendance,"788,635",7.0,Denver,2023
