Category,TeamR,Lg Rank,Team,Year
W,53,3.0,GSW,2022
L,29,27.0,GSW,2022
PW,55,4.0,GSW,2022
PL,27,4.0,GSW,2022
MOV,5.54,5.0,GSW,2022
SOS,-0.02,17.0,GSW,2022
SRS,5.52,4.0,GSW,2022
ORtg,112.5,17.0,GSW,2022
DRtg,106.9,1.0,GSW,2022
NetRtg,5.6,5.0,GSW,2022
Pace,98.4,13.0,GSW,2022
FTr,0.235,23.0,GSW,2022
3PAr,0.456,2.0,GSW,2022
eFG%,0.552,3.0,GSW,2022
TOV%,13.5,29.0,GSW,2022
ORB%,22.8,18.0,GSW,2022
FT/FGA,0.181,22.0,GSW,2022
eFG%,0.509,2.0,GSW,2022
TOV%,13.0,7.0,GSW,2022
DRB%,78.7,2.0,GSW,2022
FT/FGA,0.201,22.0,GSW,2022
Arena,Chase Center,,GSW,2022
Attendance,"740,624",10.0,GSW,2022
