Category,TeamR,Lg Rank,Team,Year
W,52,3.0,LAL,2020
L,19,28.0,LAL,2020
PW,48,6.0,LAL,2020
PL,23,5.0,LAL,2020
MOV,5.79,5.0,LAL,2020
SOS,0.49,4.0,LAL,2020
SRS,6.28,3.0,LAL,2020
ORtg,112.0,11.0,LAL,2020
DRtg,106.3,3.0,LAL,2020
NetRtg,5.7,4.0,LAL,2020
Pace,100.9,11.0,LAL,2020
FTr,0.276,6.0,LAL,2020
3PAr,0.358,23.0,LAL,2020
eFG%,0.542,5.0,LAL,2020
TOV%,13.3,23.0,LAL,2020
ORB%,24.5,4.0,LAL,2020
FT/FGA,0.201,16.0,LAL,2020
eFG%,0.515,7.0,LAL,2020
TOV%,14.1,3.0,LAL,2020
DRB%,78.8,7.0,LAL,2020
FT/FGA,0.205,16.0,LAL,2020
Arena,STAPLES Center,,LAL,2020
Attendance,"588,907",14.0,LAL,2020
