Category,TeamR,Lg Rank,Team,Year
W,52,3.0,Los,Stats
L,19,28.0,Los,Stats
PW,48,6.0,Los,Stats
PL,23,5.0,Los,Stats
MOV,5.79,5.0,Los,Stats
SOS,0.49,4.0,Los,Stats
SRS,6.28,3.0,Los,Stats
ORtg,112.0,11.0,Los,Stats
DRtg,106.3,3.0,Los,Stats
NetRtg,5.7,4.0,Los,Stats
Pace,100.9,11.0,Los,Stats
FTr,0.276,6.0,Los,Stats
3PAr,0.358,23.0,Los,Stats
eFG%,0.542,5.0,Los,Stats
TOV%,13.3,23.0,Los,Stats
ORB%,24.5,4.0,Los,Stats
FT/FGA,0.201,16.0,Los,Stats
eFG%,0.515,7.0,Los,Stats
TOV%,14.1,3.0,Los,Stats
DRB%,78.8,7.0,Los,Stats
FT/FGA,0.205,16.0,Los,Stats
Arena,STAPLES Center,,Los,Stats
Attendance,"588,907",14.0,Los,Stats
