Category,TeamR,Lg Rank,Team,Year
W,46,7.0,Milwaukee,Stats
L,26,24.0,Milwaukee,Stats
PW,48,5.0,Milwaukee,Stats
PL,24,5.0,Milwaukee,Stats
MOV,5.89,3.0,Milwaukee,Stats
SOS,-0.32,30.0,Milwaukee,Stats
SRS,5.57,4.0,Milwaukee,Stats
ORtg,117.2,6.0,Milwaukee,Stats
DRtg,111.4,10.0,Milwaukee,Stats
NetRtg,5.7,5.0,Milwaukee,Stats
Pace,102.2,2.0,Milwaukee,Stats
FTr,0.233,24.0,Milwaukee,Stats
3PAr,0.404,12.0,Milwaukee,Stats
eFG%,0.566,2.0,Milwaukee,Stats
TOV%,12.0,12.0,Milwaukee,Stats
ORB%,23.3,9.0,Milwaukee,Stats
FT/FGA,0.177,26.0,Milwaukee,Stats
eFG%,0.536,13.0,Milwaukee,Stats
TOV%,11.5,24.0,Milwaukee,Stats
DRB%,79.7,3.0,Milwaukee,Stats
FT/FGA,0.157,1.0,Milwaukee,Stats
Arena,Fiserv Forum,,Milwaukee,Stats
Attendance,"64,780",10.0,Milwaukee,Stats
