Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,,G,W,L,W/L%,Notes
2010-11,37,IND,NBA,38,20,18,.526,1.0,2,,5,1,4,.200,
2011-12,38,IND,NBA,66,42,24,.636,9.0,2,,11,6,5,.545,
2012-13,39,IND,NBA,81,49,32,.605,8.5,1,,19,11,8,.579,
2013-14,40,IND,NBA,82,56,26,.683,15.0,1,,19,10,9,.526,
2014-15,41,IND,NBA,82,38,44,.463,-3.0,4,,,,,,
2015-16,42,IND,NBA,82,45,37,.549,4.0,2,,7,3,4,.429,
2016-17,43,ORL,NBA,82,29,53,.354,-12.0,5,,,,,,
2017-18,44,ORL,NBA,82,25,57,.305,-16.0,4,,,,,,
2019-20,46,LAL,NBA,71,52,19,.732,16.5,1,,21,16,5,.762,NBA Champions
2020-21,47,LAL,NBA,72,42,30,.583,6.0,3,,6,2,4,.333,
2021-22,48,LAL,NBA,82,33,49,.402,-8.0,4,,,,,,
2023-24,50,PHO,NBA,82,49,33,.598,8.0,2,,4,0,4,.000,
