Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Champion
2010-11,37,IND,NBA,38,20,18,0.526,1.0,2,x,5.0,1.0,4.0,0.2,0
2011-12,38,IND,NBA,66,42,24,0.636,9.0,2,x,11.0,6.0,5.0,0.545,0
2012-13,39,IND,NBA,81,49,32,0.605,8.5,1,x,19.0,11.0,8.0,0.579,0
2013-14,40,IND,NBA,82,56,26,0.683,15.0,1,x,19.0,10.0,9.0,0.526,0
2014-15,41,IND,NBA,82,38,44,0.463,-3.0,4,x,x,x,x,x,0
2015-16,42,IND,NBA,82,45,37,0.549,4.0,2,x,7.0,3.0,4.0,0.429,0
2016-17,43,ORL,NBA,82,29,53,0.354,-12.0,5,x,x,x,x,x,0
2017-18,44,ORL,NBA,82,25,57,0.305,-16.0,4,x,x,x,x,x,0
2019-20,46,LAL,NBA,71,52,19,0.732,16.5,1,x,21.0,16.0,5.0,0.762,1
2020-21,47,LAL,NBA,72,42,30,0.583,6.0,3,x,6.0,2.0,4.0,0.333,0
2021-22,48,LAL,NBA,82,33,49,0.402,-8.0,4,x,x,x,x,x,0
2023-24,50,PHO,NBA,82,49,33,0.598,8.0,2,x,4.0,0.0,4.0,0.0,0
