Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,,G,W,L,W/L%,Notes
2013-14,42,SAC,NBA,82,28,54,.341,-13.0,4,,,,,,
2014-15,43,SAC,NBA,24,11,13,.458,-1.0,4,,,,,,
2015-16,44,DEN,NBA,82,33,49,.402,-8.0,4,,,,,,
2016-17,45,DEN,NBA,82,40,42,.488,-1.0,4,,,,,,
2017-18,46,DEN,NBA,82,46,36,.561,5.0,5,,,,,,
2018-19,47,DEN,NBA,82,54,28,.659,13.0,1,,14,7,7,.500,
2019-20,48,DEN,NBA,73,46,27,.630,9.5,1,,19,9,10,.474,
2020-21,49,DEN,NBA,72,47,25,.653,11.0,2,,10,4,6,.400,
2021-22,50,DEN,NBA,82,48,34,.585,7.0,2,,5,1,4,.200,
2022-23,51,DEN,NBA,82,53,29,.646,12.0,1,,20,16,4,.800,NBA Champions
2023-24,52,DEN,NBA,82,57,25,.695,16.0,2,,12,7,5,.583,
2024-25,53,DEN,NBA,16,9,7,.563,1.0,2,,,,,,
