Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes
2013-14,42,SAC,NBA,82,28,54,0.341,-13.0,4,x,x,x,x,x,x
2014-15,43,SAC,NBA,24,11,13,0.458,-1.0,4,x,x,x,x,x,x
2015-16,44,DEN,NBA,82,33,49,0.402,-8.0,4,x,x,x,x,x,x
2016-17,45,DEN,NBA,82,40,42,0.488,-1.0,4,x,x,x,x,x,x
2017-18,46,DEN,NBA,82,46,36,0.561,5.0,5,x,x,x,x,x,x
2018-19,47,DEN,NBA,82,54,28,0.659,13.0,1,x,14.0,7.0,7.0,0.5,x
2019-20,48,DEN,NBA,73,46,27,0.63,9.5,1,x,19.0,9.0,10.0,0.474,x
2020-21,49,DEN,NBA,72,47,25,0.653,11.0,2,x,10.0,4.0,6.0,0.4,x
2021-22,50,DEN,NBA,82,48,34,0.585,7.0,2,x,5.0,1.0,4.0,0.2,x
2022-23,51,DEN,NBA,82,53,29,0.646,12.0,1,x,20.0,16.0,4.0,0.8,NBA Champions
2023-24,52,DEN,NBA,82,57,25,0.695,16.0,2,x,12.0,7.0,5.0,0.583,x
2024-25,53,DEN,NBA,16,9,7,0.563,1.0,2,x,x,x,x,x,x
