Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,,G,W,L,W/L%,Notes
2013-14,44,ATL,NBA,82,38,44,.463,-3.0,4,,7,3,4,.429,
2014-15,45,ATL,NBA,82,60,22,.732,19.0,1,,16,8,8,.500,
2015-16,46,ATL,NBA,82,48,34,.585,7.0,2,,10,4,6,.400,
2016-17,47,ATL,NBA,82,43,39,.524,2.0,2,,6,2,4,.333,
2017-18,48,ATL,NBA,82,24,58,.293,-17.0,5,,,,,,
2018-19,49,MIL,NBA,82,60,22,.732,19.0,1,,15,10,5,.667,
2019-20,50,MIL,NBA,73,56,17,.767,19.5,1,,10,5,5,.500,
2020-21,51,MIL,NBA,72,46,26,.639,10.0,1,,23,16,7,.696,NBA Champions
2021-22,52,MIL,NBA,82,51,31,.622,10.0,1,,12,7,5,.583,
2022-23,53,MIL,NBA,82,58,24,.707,17.0,1,,5,1,4,.200,
2024-25,55,PHO,NBA,17,10,7,.588,1.5,2,,,,,,
