Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,,G,W,L,W/L%,Notes
2014-15,49,GSW,NBA,82,67,15,.817,26.0,1,,21,16,5,.762,NBA Champions
2015-16,50,GSW,NBA,82,73,9,.890,32.0,1,,24,15,9,.625,WC Champions
2016-17,51,GSW,NBA,82,67,15,.817,26.0,1,,17,16,1,.941,NBA Champions
2017-18,52,GSW,NBA,82,58,24,.707,17.0,1,,21,16,5,.762,NBA Champions
2018-19,53,GSW,NBA,82,57,25,.695,16.0,1,,22,14,8,.636,WC Champions
2019-20,54,GSW,NBA,65,15,50,.231,-17.5,5,,,,,,
2020-21,55,GSW,NBA,72,39,33,.542,3.0,4,,,,,,
2021-22,56,GSW,NBA,82,53,29,.646,12.0,2,,22,16,6,.727,NBA Champions
2022-23,57,GSW,NBA,82,44,38,.537,3.0,4,,13,6,7,.462,
2023-24,58,GSW,NBA,82,46,36,.561,5.0,5,,,,,,
2024-25,59,GSW,NBA,17,12,5,.706,3.5,1,,,,,,
