Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes
2014-15,49,GSW,NBA,82,67,15,0.817,26.0,1,x,21.0,16.0,5.0,0.762,NBA Champions
2015-16,50,GSW,NBA,82,73,9,0.89,32.0,1,x,24.0,15.0,9.0,0.625,WC Champions
2016-17,51,GSW,NBA,82,67,15,0.817,26.0,1,x,17.0,16.0,1.0,0.941,NBA Champions
2017-18,52,GSW,NBA,82,58,24,0.707,17.0,1,x,21.0,16.0,5.0,0.762,NBA Champions
2018-19,53,GSW,NBA,82,57,25,0.695,16.0,1,x,22.0,14.0,8.0,0.636,WC Champions
2019-20,54,GSW,NBA,65,15,50,0.231,-17.5,5,x,x,x,x,x,x
2020-21,55,GSW,NBA,72,39,33,0.542,3.0,4,x,x,x,x,x,x
2021-22,56,GSW,NBA,82,53,29,0.646,12.0,2,x,22.0,16.0,6.0,0.727,NBA Champions
2022-23,57,GSW,NBA,82,44,38,0.537,3.0,4,x,13.0,6.0,7.0,0.462,x
2023-24,58,GSW,NBA,82,46,36,0.561,5.0,5,x,x,x,x,x,x
2024-25,59,GSW,NBA,17,12,5,0.706,3.5,1,x,x,x,x,x,x
