Season,Team_ID,Game_ID,Matchup,Game_Date,Avg_Points_Scored,Avg_Points_Allowed
2023-24,1610612738,0042300405,BOS vs. DAL,2024-06-17,106.0,88.0
2023-24,1610612738,0042300404,BOS @ DAL,2024-06-14,84.0,122.0
2023-24,1610612738,0042300403,BOS @ DAL,2024-06-12,106.0,99.0
2023-24,1610612738,0042300402,BOS vs. DAL,2024-06-09,105.0,98.0
2023-24,1610612738,0042300401,BOS vs. DAL,2024-06-06,107.0,89.0
2023-24,1610612738,0042300304,BOS @ IND,2024-05-27,105.0,102.0
2023-24,1610612738,0042300303,BOS @ IND,2024-05-25,114.0,111.0
2023-24,1610612738,0042300302,BOS vs. IND,2024-05-23,126.0,110.0
2023-24,1610612738,0042300301,BOS vs. IND,2024-05-21,133.0,128.0
2023-24,1610612738,0042300205,BOS vs. CLE,2024-05-15,113.0,98.0
2023-24,1610612738,0042300204,BOS @ CLE,2024-05-13,109.0,102.0
2023-24,1610612738,0042300203,BOS @ CLE,2024-05-11,106.0,93.0
2023-24,1610612738,0042300202,BOS vs. CLE,2024-05-09,94.0,118.0
2023-24,1610612738,0042300201,BOS vs. CLE,2024-05-07,120.0,95.0
2023-24,1610612738,0042300105,BOS vs. MIA,2024-05-01,118.0,84.0
2023-24,1610612738,0042300104,BOS @ MIA,2024-04-29,102.0,88.0
2023-24,1610612738,0042300103,BOS @ MIA,2024-04-27,104.0,84.0
2023-24,1610612738,0042300102,BOS vs. MIA,2024-04-24,101.0,111.0
2023-24,1610612738,0042300101,BOS vs. MIA,2024-04-21,114.0,94.0
2023-24,1610612742,0042300405,DAL @ BOS,2024-06-17,88.0,106.0
2023-24,1610612742,0042300404,DAL vs. BOS,2024-06-14,122.0,84.0
2023-24,1610612742,0042300403,DAL vs. BOS,2024-06-12,99.0,106.0
2023-24,1610612742,0042300402,DAL @ BOS,2024-06-09,98.0,105.0
2023-24,1610612742,0042300401,DAL @ BOS,2024-06-06,89.0,107.0
2023-24,1610612742,0042300315,DAL @ MIN,2024-05-30,124.0,103.0
2023-24,1610612742,0042300314,DAL vs. MIN,2024-05-28,100.0,105.0
2023-24,1610612742,0042300313,DAL vs. MIN,2024-05-26,116.0,107.0
2023-24,1610612742,0042300312,DAL @ MIN,2024-05-24,109.0,108.0
2023-24,1610612742,0042300311,DAL @ MIN,2024-05-22,108.0,105.0
2023-24,1610612742,0042300226,DAL vs. OKC,2024-05-18,117.0,116.0
2023-24,1610612742,0042300225,DAL @ OKC,2024-05-15,104.0,92.0
2023-24,1610612742,0042300224,DAL vs. OKC,2024-05-13,96.0,100.0
2023-24,1610612742,0042300223,DAL vs. OKC,2024-05-11,105.0,101.0
2023-24,1610612742,0042300222,DAL @ OKC,2024-05-09,119.0,110.0
2023-24,1610612742,0042300221,DAL @ OKC,2024-05-07,95.0,117.0
2023-24,1610612742,0042300176,DAL vs. LAC,2024-05-03,114.0,101.0
2023-24,1610612742,0042300175,DAL @ LAC,2024-05-01,123.0,93.0
2023-24,1610612742,0042300174,DAL vs. LAC,2024-04-28,111.0,116.0
2023-24,1610612742,0042300173,DAL vs. LAC,2024-04-26,101.0,90.0
2023-24,1610612742,0042300172,DAL @ LAC,2024-04-23,96.0,93.0
2023-24,1610612742,0042300171,DAL @ LAC,2024-04-21,97.0,109.0
2022-23,1610612743,0042200405,DEN vs. MIA,2023-06-12,94.0,89.0
2022-23,1610612743,0042200404,DEN @ MIA,2023-06-09,108.0,95.0
2022-23,1610612743,0042200403,DEN @ MIA,2023-06-07,109.0,94.0
2022-23,1610612743,0042200402,DEN vs. MIA,2023-06-04,108.0,111.0
2022-23,1610612743,0042200401,DEN vs. MIA,2023-06-01,104.0,93.0
2022-23,1610612743,0042200314,DEN @ LAL,2023-05-22,113.0,111.0
2022-23,1610612743,0042200313,DEN @ LAL,2023-05-20,119.0,108.0
2022-23,1610612743,0042200312,DEN vs. LAL,2023-05-18,108.0,103.0
2022-23,1610612743,0042200311,DEN vs. LAL,2023-05-16,132.0,126.0
2022-23,1610612743,0042200226,DEN @ PHX,2023-05-11,125.0,100.0
2022-23,1610612743,0042200225,DEN vs. PHX,2023-05-09,118.0,102.0
2022-23,1610612743,0042200224,DEN @ PHX,2023-05-07,124.0,129.0
2022-23,1610612743,0042200223,DEN @ PHX,2023-05-05,114.0,121.0
2022-23,1610612743,0042200222,DEN vs. PHX,2023-05-01,97.0,87.0
2022-23,1610612743,0042200221,DEN vs. PHX,2023-04-29,125.0,107.0
2022-23,1610612743,0042200145,DEN vs. MIN,2023-04-25,112.0,109.0
2022-23,1610612743,0042200144,DEN @ MIN,2023-04-23,108.0,114.0
2022-23,1610612743,0042200143,DEN @ MIN,2023-04-21,120.0,111.0
2022-23,1610612743,0042200142,DEN vs. MIN,2023-04-19,122.0,113.0
2022-23,1610612743,0042200141,DEN vs. MIN,2023-04-16,109.0,80.0
2022-23,1610612748,0042200405,MIA @ DEN,2023-06-12,89.0,94.0
2022-23,1610612748,0042200404,MIA vs. DEN,2023-06-09,95.0,108.0
2022-23,1610612748,0042200403,MIA vs. DEN,2023-06-07,94.0,109.0
2022-23,1610612748,0042200402,MIA @ DEN,2023-06-04,111.0,108.0
2022-23,1610612748,0042200401,MIA @ DEN,2023-06-01,93.0,104.0
2022-23,1610612748,0042200307,MIA @ BOS,2023-05-29,103.0,84.0
2022-23,1610612748,0042200306,MIA vs. BOS,2023-05-27,103.0,104.0
2022-23,1610612748,0042200305,MIA @ BOS,2023-05-25,97.0,110.0
2022-23,1610612748,0042200304,MIA vs. BOS,2023-05-23,99.0,116.0
2022-23,1610612748,0042200303,MIA vs. BOS,2023-05-21,128.0,102.0
2022-23,1610612748,0042200302,MIA @ BOS,2023-05-19,111.0,105.0
2022-23,1610612748,0042200301,MIA @ BOS,2023-05-17,123.0,116.0
2022-23,1610612748,0042200206,MIA vs. NYK,2023-05-12,96.0,92.0
2022-23,1610612748,0042200205,MIA @ NYK,2023-05-10,103.0,112.0
2022-23,1610612748,0042200204,MIA vs. NYK,2023-05-08,109.0,101.0
2022-23,1610612748,0042200203,MIA vs. NYK,2023-05-06,105.0,86.0
2022-23,1610612748,0042200202,MIA @ NYK,2023-05-02,105.0,111.0
2022-23,1610612748,0042200201,MIA @ NYK,2023-04-30,108.0,101.0
2022-23,1610612748,0042200105,MIA @ MIL,2023-04-26,128.0,126.0
2022-23,1610612748,0042200104,MIA vs. MIL,2023-04-24,119.0,114.0
2022-23,1610612748,0042200103,MIA vs. MIL,2023-04-22,121.0,99.0
2022-23,1610612748,0042200102,MIA @ MIL,2023-04-19,122.0,138.0
