GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2024-06-17,BOS vs. DAL,106,18.0
2024-06-09,BOS vs. DAL,105,7.0
2024-06-06,BOS vs. DAL,107,18.0
2024-05-23,BOS vs. IND,126,16.0
2024-05-21,BOS vs. IND,133,5.0
2024-05-15,BOS vs. CLE,113,15.0
2024-05-09,BOS vs. CLE,94,-24.0
2024-05-07,BOS vs. CLE,120,25.0
2024-05-01,BOS vs. MIA,118,34.0
2024-04-24,BOS vs. MIA,101,-10.0
2024-04-21,BOS vs. MIA,114,20.0
2024-04-14,BOS vs. WAS,132,10.0
2024-04-12,BOS vs. CHA,131,33.0
2024-04-11,BOS vs. NYK,109,-9.0
2024-04-07,BOS vs. POR,124,17.0
2024-04-05,BOS vs. SAC,101,1.0
2024-04-03,BOS vs. OKC,135,35.0
2024-03-20,BOS vs. MIL,122,3.0
2024-03-18,BOS vs. DET,119,25.0
2024-03-14,BOS vs. PHX,127,15.0
2024-03-03,BOS vs. GSW,140,52.0
2024-03-01,BOS vs. DAL,138,28.0
2024-02-27,BOS vs. PHI,117,18.0
2024-02-14,BOS vs. BKN,136,50.0
2024-02-09,BOS vs. WAS,133,4.0
2024-02-07,BOS vs. ATL,125,8.0
2024-02-04,BOS vs. MEM,131,40.0
2024-02-01,BOS vs. LAL,105,-9.0
2024-01-30,BOS vs. IND,129,5.0
2024-01-29,BOS vs. NOP,118,6.0
2024-01-27,BOS vs. LAC,96,-19.0
2024-01-19,BOS vs. DEN,100,-2.0
2024-01-17,BOS vs. SAS,117,19.0
2024-01-13,BOS vs. HOU,145,32.0
2024-01-10,BOS vs. MIN,127,7.0
2024-01-05,BOS vs. UTA,126,29.0
2023-12-29,BOS vs. TOR,120,2.0
2023-12-28,BOS vs. DET,128,6.0
2023-12-17,BOS vs. ORL,114,17.0
2023-12-15,BOS vs. ORL,128,17.0
2023-12-14,BOS vs. CLE,116,9.0
2023-12-12,BOS vs. CLE,120,7.0
2023-12-08,BOS vs. NYK,133,10.0
2023-12-01,BOS vs. PHI,125,6.0
2023-11-28,BOS vs. CHI,124,27.0
2023-11-26,BOS vs. ATL,113,10.0
2023-11-22,BOS vs. MIL,119,3.0
2023-11-13,BOS vs. NYK,114,16.0
2023-11-11,BOS vs. TOR,117,23.0
2023-11-10,BOS vs. BKN,121,14.0
2023-11-01,BOS vs. IND,155,51.0
2023-10-27,BOS vs. MIA,119,8.0
2023-10-17,BOS vs. NYK,123,13.0
2023-10-08,BOS vs. PHI,114,8.0
