GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2021-07-20,MIL vs. PHX,105,7.0
2021-07-14,MIL vs. PHX,109,6.0
2021-07-11,MIL vs. PHX,120,20.0
2021-07-01,MIL vs. ATL,123,11.0
2021-06-25,MIL vs. ATL,125,34.0
2021-06-23,MIL vs. ATL,113,-3.0
2021-06-17,MIL vs. BKN,104,15.0
2021-06-13,MIL vs. BKN,107,11.0
2021-06-10,MIL vs. BKN,86,3.0
2021-05-24,MIL vs. MIA,132,34.0
2021-05-22,MIL vs. MIA,109,2.0
2021-05-15,MIL vs. MIA,122,14.0
2021-05-11,MIL vs. ORL,114,12.0
2021-05-07,MIL vs. HOU,141,8.0
2021-05-05,MIL vs. WAS,135,1.0
2021-05-04,MIL vs. BKN,124,6.0
2021-05-02,MIL vs. BKN,117,3.0
2021-04-24,MIL vs. PHI,132,38.0
2021-04-22,MIL vs. PHI,124,7.0
2021-04-19,MIL vs. PHX,127,-1.0
2021-04-17,MIL vs. MEM,115,-13.0
2021-04-09,MIL vs. CHA,119,-8.0
2021-03-27,MIL vs. NYK,96,-6.0
2021-03-26,MIL vs. BOS,114,-8.0
2021-03-24,MIL vs. BOS,121,2.0
2021-03-22,MIL vs. IND,140,27.0
2021-03-20,MIL vs. SAS,120,7.0
2021-03-11,MIL vs. NYK,134,33.0
2021-03-02,MIL vs. DEN,97,-31.0
2021-02-28,MIL vs. LAC,105,5.0
2021-02-25,MIL vs. NOP,129,4.0
2021-02-23,MIL vs. MIN,139,27.0
2021-02-21,MIL vs. SAC,128,13.0
2021-02-19,MIL vs. OKC,98,13.0
2021-02-18,MIL vs. TOR,96,-14.0
2021-02-16,MIL vs. TOR,113,-11.0
2021-02-03,MIL vs. IND,130,20.0
2021-02-01,MIL vs. POR,134,28.0
2021-01-24,MIL vs. ATL,129,14.0
2021-01-21,MIL vs. LAL,106,-7.0
2021-01-15,MIL vs. DAL,112,3.0
2021-01-09,MIL vs. CLE,100,10.0
2021-01-08,MIL vs. UTA,118,-13.0
2021-01-06,MIL vs. DET,130,15.0
2021-01-04,MIL vs. DET,125,10.0
2021-01-01,MIL vs. CHI,126,30.0
2020-12-25,MIL vs. GSW,138,39.0
2020-12-14,MIL vs. DAL,112,-16.0
2020-12-12,MIL vs. DAL,102,-12.4
