GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2022-06-16,BOS vs. GSW,90,-13.0
2022-06-10,BOS vs. GSW,97,-10.0
2022-06-08,BOS vs. GSW,116,16.0
2022-05-27,BOS vs. MIA,103,-8.0
2022-05-23,BOS vs. MIA,102,20.0
2022-05-21,BOS vs. MIA,103,-6.0
2022-05-15,BOS vs. MIL,109,28.0
2022-05-11,BOS vs. MIL,107,-3.0
2022-05-03,BOS vs. MIL,109,23.0
2022-05-01,BOS vs. MIL,89,-12.0
2022-04-20,BOS vs. BKN,114,7.0
2022-04-17,BOS vs. BKN,115,1.0
2022-04-03,BOS vs. WAS,144,42.0
2022-04-01,BOS vs. IND,128,5.0
2022-03-30,BOS vs. MIA,98,-8.0
2022-03-27,BOS vs. MIN,134,22.0
2022-03-23,BOS vs. UTA,125,28.0
2022-03-13,BOS vs. DAL,92,-3.0
2022-03-11,BOS vs. DET,114,11.0
2022-03-06,BOS vs. BKN,126,6.0
2022-03-03,BOS vs. MEM,120,13.0
2022-03-01,BOS vs. ATL,107,9.0
2022-02-16,BOS vs. DET,111,-1.0
2022-02-13,BOS vs. ATL,105,10.0
2022-02-11,BOS vs. DEN,108,6.0
2022-02-02,BOS vs. CHA,113,6.0
2022-01-31,BOS vs. MIA,122,30.0
2022-01-25,BOS vs. SAC,128,53.0
2022-01-21,BOS vs. POR,105,-4.0
2022-01-19,BOS vs. CHA,102,-9.0
2022-01-17,BOS vs. NOP,104,12.0
2022-01-15,BOS vs. CHI,114,2.0
2022-01-10,BOS vs. IND,101,3.0
2022-01-08,BOS vs. NYK,99,24.0
2022-01-05,BOS vs. SAS,97,-2.0
2022-01-02,BOS vs. ORL,116,5.0
2021-12-31,BOS vs. PHX,123,15.0
2021-12-29,BOS vs. LAC,82,-9.0
2021-12-22,BOS vs. CLE,111,10.0
2021-12-20,BOS vs. PHI,103,-5.0
2021-12-18,BOS vs. NYK,114,7.0
2021-12-17,BOS vs. GSW,107,-4.0
2021-12-13,BOS vs. MIL,117,14.0
2021-12-01,BOS vs. PHI,88,1.0
2021-11-24,BOS vs. BKN,104,-19.0
2021-11-22,BOS vs. HOU,108,18.0
2021-11-20,BOS vs. OKC,111,6.0
2021-11-19,BOS vs. LAL,130,22.0
2021-11-12,BOS vs. MIL,122,9.0
2021-11-10,BOS vs. TOR,104,16.0
2021-11-01,BOS vs. CHI,114,-14.0
2021-10-27,BOS vs. WAS,107,-9.0
2021-10-22,BOS vs. TOR,83,-32.0
2021-10-09,BOS vs. TOR,113,2.0
2021-10-04,BOS vs. ORL,98,1.0
