GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2024-06-14,DAL vs. BOS,122,38.0
2024-06-12,DAL vs. BOS,99,-7.0
2024-05-28,DAL vs. MIN,100,-5.0
2024-05-26,DAL vs. MIN,116,9.0
2024-05-18,DAL vs. OKC,117,1.0
2024-05-13,DAL vs. OKC,96,-4.0
2024-05-11,DAL vs. OKC,105,4.0
2024-05-03,DAL vs. LAC,114,13.0
2024-04-28,DAL vs. LAC,111,-5.0
2024-04-26,DAL vs. LAC,101,11.0
2024-04-12,DAL vs. DET,89,-18.0
2024-04-07,DAL vs. HOU,147,11.0
2024-04-05,DAL vs. GSW,108,2.0
2024-04-04,DAL vs. ATL,109,14.0
2024-03-21,DAL vs. UTA,113,16.0
2024-03-17,DAL vs. DEN,107,2.0
2024-03-13,DAL vs. GSW,109,10.0
2024-03-07,DAL vs. MIA,114,6.0
2024-03-05,DAL vs. IND,120,-17.0
2024-03-03,DAL vs. PHI,116,-4.0
2024-02-22,DAL vs. PHX,123,10.0
2024-02-14,DAL vs. SAS,116,23.0
2024-02-12,DAL vs. WAS,112,8.0
2024-02-10,DAL vs. OKC,146,35.0
2024-02-03,DAL vs. MIL,117,-12.0
2024-01-29,DAL vs. ORL,131,2.0
2024-01-27,DAL vs. SAC,115,-5.0
2024-01-24,DAL vs. PHX,109,-23.0
2024-01-22,DAL vs. BOS,110,-9.0
2024-01-15,DAL vs. NOP,125,5.0
2024-01-13,DAL vs. NOP,108,-10.0
2024-01-11,DAL vs. NYK,128,4.0
2024-01-09,DAL vs. MEM,103,-17.0
2024-01-07,DAL vs. MIN,115,7.0
2024-01-05,DAL vs. POR,139,36.0
2024-01-03,DAL vs. POR,126,29.0
2023-12-27,DAL vs. CLE,110,-3.0
2023-12-23,DAL vs. SAS,144,25.0
2023-12-20,DAL vs. LAC,111,-9.0
2023-12-14,DAL vs. MIN,101,-18.0
2023-12-12,DAL vs. LAL,127,2.0
2023-12-06,DAL vs. UTA,147,50.0
2023-12-02,DAL vs. OKC,120,-6.0
2023-12-01,DAL vs. MEM,94,-14.0
2023-11-28,DAL vs. HOU,121,6.0
2023-11-19,DAL vs. SAC,113,-16.0
2023-11-10,DAL vs. LAC,144,18.0
2023-11-08,DAL vs. TOR,116,-11.0
2023-11-05,DAL vs. CHA,124,6.0
2023-11-01,DAL vs. CHI,114,9.0
2023-10-27,DAL vs. BKN,125,5.0
2023-10-20,DAL vs. DET,114,10.0
2023-10-07,DAL vs. MIN,96,-8.0
