GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2023-06-12,DEN vs. MIA,94,5.0
2023-06-04,DEN vs. MIA,108,-3.0
2023-06-01,DEN vs. MIA,104,11.0
2023-05-18,DEN vs. LAL,108,5.0
2023-05-16,DEN vs. LAL,132,6.0
2023-05-09,DEN vs. PHX,118,16.0
2023-05-01,DEN vs. PHX,97,10.0
2023-04-29,DEN vs. PHX,125,18.0
2023-04-25,DEN vs. MIN,112,3.0
2023-04-19,DEN vs. MIN,122,9.0
2023-04-16,DEN vs. MIN,109,29.0
2023-04-09,DEN vs. SAC,109,14.0
2023-04-02,DEN vs. GSW,112,2.0
2023-03-30,DEN vs. NOP,88,-19.0
2023-03-27,DEN vs. PHI,116,5.0
2023-03-25,DEN vs. MIL,129,23.0
2023-03-12,DEN vs. BKN,120,-2.0
2023-03-08,DEN vs. CHI,96,-21.0
2023-03-06,DEN vs. TOR,118,5.0
2023-03-03,DEN vs. MEM,113,16.0
2023-02-26,DEN vs. LAC,134,10.0
2023-02-15,DEN vs. DAL,118,9.0
2023-02-07,DEN vs. MIN,146,34.0
2023-02-04,DEN vs. ATL,128,20.0
2023-02-02,DEN vs. GSW,134,17.0
2023-01-31,DEN vs. NOP,122,9.0
2023-01-22,DEN vs. OKC,99,-2.0
2023-01-20,DEN vs. IND,134,23.0
2023-01-18,DEN vs. MIN,122,4.0
2023-01-17,DEN vs. POR,122,9.0
2023-01-15,DEN vs. ORL,119,3.0
2023-01-11,DEN vs. PHX,126,29.0
2023-01-09,DEN vs. LAL,122,13.0
2023-01-06,DEN vs. CLE,121,13.0
2023-01-05,DEN vs. LAC,122,31.0
2023-01-01,DEN vs. BOS,123,12.0
2022-12-30,DEN vs. MIA,124,5.0
2022-12-25,DEN vs. PHX,128,3.0
2022-12-23,DEN vs. POR,120,13.0
2022-12-20,DEN vs. MEM,105,14.0
2022-12-18,DEN vs. CHA,119,4.0
2022-12-14,DEN vs. WAS,141,13.0
2022-12-10,DEN vs. UTA,115,5.0
2022-12-06,DEN vs. DAL,115,-1.0
2022-11-30,DEN vs. HOU,120,20.0
2022-11-28,DEN vs. HOU,129,16.0
2022-11-22,DEN vs. DET,108,-2.0
2022-11-16,DEN vs. NYK,103,-3.0
2022-11-05,DEN vs. SAS,126,22.4
2022-10-28,DEN vs. UTA,117,16.0
2022-10-26,DEN vs. LAL,110,11.0
2022-10-22,DEN vs. OKC,122,5.0
2022-10-10,DEN vs. PHX,107,2.0
2022-10-03,DEN vs. OKC,101,-11.0
