GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2021-05-29,MIA vs. MIL,103,-17.0
2021-05-27,MIA vs. MIL,84,-29.0
2021-05-13,MIA vs. PHI,106,12.0
2021-05-07,MIA vs. MIN,121,9.0
2021-05-04,MIA vs. DAL,113,-14.0
2021-04-28,MIA vs. SAS,116,5.0
2021-04-26,MIA vs. CHI,102,-8.0
2021-04-24,MIA vs. CHI,106,5.0
2021-04-19,MIA vs. HOU,113,22.0
2021-04-18,MIA vs. BKN,109,2.0
2021-04-08,MIA vs. LAL,110,6.0
2021-04-06,MIA vs. MEM,112,-12.0
2021-04-03,MIA vs. CLE,115,14.0
2021-04-01,MIA vs. GSW,116,7.0
2021-03-25,MIA vs. POR,122,-3.0
2021-03-23,MIA vs. PHX,100,-10.0
2021-03-21,MIA vs. IND,106,-3.0
2021-03-19,MIA vs. IND,110,-27.0
2021-03-16,MIA vs. CLE,113,15.0
2021-03-11,MIA vs. ORL,111,8.0
2021-03-02,MIA vs. ATL,80,-14.0
2021-02-28,MIA vs. ATL,109,10.0
2021-02-26,MIA vs. UTA,124,8.0
2021-02-24,MIA vs. TOR,116,8.0
2021-02-09,MIA vs. NYK,98,2.0
2021-02-05,MIA vs. WAS,122,27.0
2021-02-03,MIA vs. WAS,100,-3.0
2021-02-01,MIA vs. CHA,121,-8.0
2021-01-30,MIA vs. SAC,105,1.0
2021-01-28,MIA vs. LAC,105,-4.0
2021-01-27,MIA vs. DEN,82,-27.0
2021-01-18,MIA vs. DET,113,6.0
2021-01-16,MIA vs. DET,100,-20.0
2021-01-06,MIA vs. BOS,105,-2.0
2021-01-04,MIA vs. OKC,118,28.0
2020-12-30,MIA vs. MIL,119,11.0
2020-12-29,MIA vs. MIL,97,-47.0
2020-12-25,MIA vs. NOP,111,13.0
2020-12-14,MIA vs. NOP,92,-22.0
