GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2020-10-09,LAL vs. MIA,108,-3.0
2020-10-02,LAL vs. MIA,124,10.0
2020-09-30,LAL vs. MIA,116,18.0
2020-09-26,LAL vs. DEN,117,10.0
2020-09-20,LAL vs. DEN,105,2.0
2020-09-18,LAL vs. DEN,126,12.0
2020-09-12,LAL vs. HOU,119,23.0
2020-09-06,LAL vs. HOU,117,8.0
2020-09-04,LAL vs. HOU,97,-15.0
2020-08-29,LAL vs. POR,131,9.0
2020-08-20,LAL vs. POR,111,23.0
2020-08-18,LAL vs. POR,93,-7.0
2020-08-13,LAL vs. SAC,122,-14.0
2020-08-10,LAL vs. DEN,124,3.0
2020-08-05,LAL vs. OKC,86,-19.0
2020-07-30,LAL vs. LAC,103,2.0
2020-07-27,LAL vs. WAS,123,7.0
2020-07-23,LAL vs. DAL,104,-4.0
2020-03-10,LAL vs. BKN,102,-2.0
2020-03-06,LAL vs. MIL,113,10.0
2020-03-03,LAL vs. PHI,120,13.0
2020-02-25,LAL vs. NOP,118,9.0
2020-02-23,LAL vs. BOS,114,2.0
2020-02-21,LAL vs. MEM,117,12.0
2020-02-10,LAL vs. PHX,125,25.0
2020-02-06,LAL vs. HOU,111,-10.0
2020-02-04,LAL vs. SAS,129,27.0
2020-01-31,LAL vs. POR,119,-8.0
2020-01-15,LAL vs. ORL,118,-1.0
2020-01-13,LAL vs. CLE,128,29.0
2020-01-07,LAL vs. NYK,117,30.0
2020-01-05,LAL vs. DET,106,7.0
2020-01-03,LAL vs. NOP,123,10.0
2020-01-01,LAL vs. PHX,117,10.0
2019-12-29,LAL vs. DAL,108,13.0
2019-12-25,LAL vs. LAC,106,-5.0
2019-12-22,LAL vs. DEN,104,-24.0
2019-12-08,LAL vs. MIN,142,17.0
2019-12-01,LAL vs. DAL,100,-14.0
2019-11-29,LAL vs. WAS,125,22.0
2019-11-19,LAL vs. OKC,112,5.0
2019-11-17,LAL vs. ATL,122,21.0
2019-11-15,LAL vs. SAC,99,2.0
2019-11-13,LAL vs. GSW,120,26.0
2019-11-10,LAL vs. TOR,104,-9.0
2019-11-08,LAL vs. MIA,95,15.0
2019-10-29,LAL vs. MEM,120,29.0
2019-10-27,LAL vs. CHA,120,19.0
2019-10-25,LAL vs. UTA,95,9.0
2019-10-16,LAL vs. GSW,126,33.0
2019-10-14,LAL vs. GSW,104,6.0
2019-10-10,LAL vs. BKN,111,-3.0
