GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2023-06-09,MIA vs. DEN,95,-13.0
2023-06-07,MIA vs. DEN,94,-15.0
2023-05-27,MIA vs. BOS,103,-1.0
2023-05-23,MIA vs. BOS,99,-17.0
2023-05-21,MIA vs. BOS,128,26.0
2023-05-12,MIA vs. NYK,96,4.0
2023-05-08,MIA vs. NYK,109,8.0
2023-05-06,MIA vs. NYK,105,19.0
2023-04-24,MIA vs. MIL,119,5.0
2023-04-22,MIA vs. MIL,121,22.0
2023-04-14,MIA vs. CHI,102,11.0
2023-04-11,MIA vs. ATL,105,-11.0
2023-04-09,MIA vs. ORL,123,13.0
2023-04-01,MIA vs. DAL,129,7.0
2023-03-25,MIA vs. BKN,100,-29.0
2023-03-22,MIA vs. NYK,127,7.0
2023-03-15,MIA vs. MEM,138,19.0
2023-03-13,MIA vs. UTA,119,4.0
2023-03-10,MIA vs. CLE,119,4.0
2023-03-08,MIA vs. CLE,100,-4.0
2023-03-06,MIA vs. ATL,130,2.0
2023-03-04,MIA vs. ATL,117,8.0
2023-03-03,MIA vs. NYK,120,-2.0
2023-03-01,MIA vs. PHI,96,-23.0
2023-02-13,MIA vs. DEN,108,-4.0
2023-02-10,MIA vs. HOU,97,2.0
2023-02-08,MIA vs. IND,116,5.0
2023-01-27,MIA vs. ORL,110,5.0
2023-01-24,MIA vs. BOS,98,3.0
2023-01-22,MIA vs. NOP,100,4.0
2023-01-14,MIA vs. MIL,111,16.0
2023-01-12,MIA vs. MIL,108,6.0
2023-01-10,MIA vs. OKC,112,1.0
2023-01-08,MIA vs. BKN,101,-1.0
2022-12-28,MIA vs. LAL,112,14.0
2022-12-26,MIA vs. MIN,113,3.0
2022-12-23,MIA vs. IND,108,-3.0
2022-12-20,MIA vs. CHI,103,-10.0
2022-12-10,MIA vs. SAS,111,-4.0
2022-12-08,MIA vs. LAC,115,5.0
2022-12-06,MIA vs. DET,96,-20.0
2022-11-25,MIA vs. WAS,110,3.0
2022-11-23,MIA vs. WAS,113,8.0
2022-11-14,MIA vs. PHX,113,1.0
2022-11-12,MIA vs. CHA,132,17.0
2022-11-10,MIA vs. CHA,117,5.0
2022-11-07,MIA vs. POR,107,-3.0
2022-11-02,MIA vs. SAC,110,3.0
2022-11-01,MIA vs. GSW,116,7.0
2022-10-24,MIA vs. TOR,90,-8.0
2022-10-22,MIA vs. TOR,112,3.0
2022-10-21,MIA vs. BOS,104,-7.0
2022-10-19,MIA vs. CHI,108,-8.0
2022-10-12,MIA vs. NOP,120,17.0
2022-10-10,MIA vs. HOU,118,8.0
2022-10-04,MIA vs. MIN,111,-10.0
