GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2021-07-17,PHX vs. MIL,119,-4.0
2021-07-08,PHX vs. MIL,118,10.0
2021-07-06,PHX vs. MIL,118,13.0
2021-06-28,PHX vs. LAC,102,-14.0
2021-06-22,PHX vs. LAC,104,1.0
2021-06-20,PHX vs. LAC,120,6.0
2021-06-09,PHX vs. DEN,123,25.0
2021-06-07,PHX vs. DEN,122,17.0
2021-06-01,PHX vs. LAL,115,30.0
2021-05-25,PHX vs. LAL,102,-7.0
2021-05-23,PHX vs. LAL,99,9.0
2021-05-13,PHX vs. POR,118,1.0
2021-05-07,PHX vs. NYK,128,23.0
2021-04-30,PHX vs. UTA,121,21.0
2021-04-28,PHX vs. LAC,109,8.0
2021-04-17,PHX vs. SAS,85,-26.0
2021-04-15,PHX vs. SAC,122,8.0
2021-04-13,PHX vs. MIA,106,20.0
2021-04-12,PHX vs. HOU,126,6.0
2021-04-10,PHX vs. WAS,134,28.0
2021-04-07,PHX vs. UTA,117,4.0
2021-04-02,PHX vs. OKC,140,37.0
2021-03-31,PHX vs. CHI,121,5.0
2021-03-30,PHX vs. ATL,117,7.0
2021-03-21,PHX vs. LAL,111,17.0
2021-03-19,PHX vs. MIN,113,12.0
2021-03-18,PHX vs. MIN,119,-4.0
2021-03-15,PHX vs. MEM,122,23.0
2021-03-13,PHX vs. IND,111,-11.0
2021-03-04,PHX vs. GSW,120,22.0
2021-02-24,PHX vs. CHA,121,-3.0
2021-02-22,PHX vs. POR,132,32.0
2021-02-16,PHX vs. BKN,124,-4.0
2021-02-14,PHX vs. ORL,109,19.0
2021-02-13,PHX vs. PHI,120,9.0
2021-02-10,PHX vs. MIL,125,1.0
2021-02-08,PHX vs. CLE,119,6.0
2021-02-07,PHX vs. BOS,100,9.0
2021-02-05,PHX vs. DET,109,17.0
2021-01-28,PHX vs. GSW,114,21.0
2021-01-27,PHX vs. OKC,97,-5.0
2021-01-23,PHX vs. DEN,112,-8.0
2021-01-22,PHX vs. DEN,126,-4.0
2021-01-06,PHX vs. TOR,123,8.0
2021-01-03,PHX vs. LAC,107,-5.0
2020-12-29,PHX vs. NOP,111,25.0
2020-12-23,PHX vs. DAL,106,4.0
2020-12-18,PHX vs. LAL,113,-1.0
2020-12-16,PHX vs. LAL,107,-5.0
