GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2022-06-13,GSW vs. BOS,104,10.0
2022-06-05,GSW vs. BOS,107,19.0
2022-06-02,GSW vs. BOS,108,-12.0
2022-05-26,GSW vs. DAL,120,10.0
2022-05-20,GSW vs. DAL,126,9.0
2022-05-18,GSW vs. DAL,112,25.0
2022-05-13,GSW vs. MEM,110,14.0
2022-05-09,GSW vs. MEM,101,3.0
2022-05-07,GSW vs. MEM,142,30.0
2022-04-27,GSW vs. DEN,102,4.0
2022-04-18,GSW vs. DEN,126,20.0
2022-04-16,GSW vs. DEN,123,16.0
2022-04-07,GSW vs. LAL,128,16.0
2022-04-02,GSW vs. UTA,111,4.0
2022-03-30,GSW vs. PHX,103,-4.0
2022-03-20,GSW vs. SAS,108,-2.0
2022-03-16,GSW vs. BOS,88,-22.0
2022-03-14,GSW vs. WAS,126,14.0
2022-03-12,GSW vs. MIL,122,13.0
2022-03-08,GSW vs. LAC,112,15.0
2022-02-27,GSW vs. DAL,101,-6.0
2022-02-16,GSW vs. DEN,116,-1.0
2022-02-12,GSW vs. LAL,117,2.0
2022-02-10,GSW vs. NYK,114,-2.0
2022-02-03,GSW vs. SAC,126,12.0
2022-01-29,GSW vs. BKN,110,4.0
2022-01-27,GSW vs. MIN,124,9.0
2022-01-25,GSW vs. DAL,130,38.0
2022-01-23,GSW vs. UTA,94,2.0
2022-01-21,GSW vs. HOU,105,2.0
2022-01-20,GSW vs. IND,117,-4.0
2022-01-18,GSW vs. DET,102,16.0
2022-01-09,GSW vs. CLE,96,14.0
2022-01-03,GSW vs. MIA,115,7.0
2021-12-28,GSW vs. DEN,86,-3.0
2021-12-23,GSW vs. MEM,113,9.0
2021-12-20,GSW vs. SAC,113,15.0
2021-12-08,GSW vs. POR,104,10.0
2021-12-06,GSW vs. ORL,126,31.0
2021-12-04,GSW vs. SAS,107,-5.0
2021-12-03,GSW vs. PHX,118,22.0
2021-11-26,GSW vs. POR,118,15.0
2021-11-24,GSW vs. PHI,116,20.0
2021-11-21,GSW vs. TOR,119,15.0
2021-11-12,GSW vs. CHI,119,26.0
2021-11-10,GSW vs. MIN,123,13.0
2021-11-08,GSW vs. ATL,127,14.0
2021-11-07,GSW vs. HOU,120,13.0
2021-11-05,GSW vs. NOP,126,41.0
2021-11-03,GSW vs. CHA,114,22.0
2021-10-30,GSW vs. OKC,103,21.0
2021-10-28,GSW vs. MEM,101,-3.0
2021-10-21,GSW vs. LAC,115,-3.0
2021-10-15,GSW vs. POR,119,22.0
2021-10-08,GSW vs. LAL,121,7.0
2021-10-06,GSW vs. DEN,118,2.0
