Conference,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Eastern Conference,Philadelphia 76ers*,49,23,.681,—,113.6,108.1,5.28
Eastern Conference,Brooklyn Nets*,48,24,.667,1.0,118.6,114.1,4.24
Eastern Conference,Milwaukee Bucks*,46,26,.639,3.0,120.1,114.2,5.57
Eastern Conference,New York Knicks*,41,31,.569,8.0,107.0,104.7,2.13
Eastern Conference,Atlanta Hawks*,41,31,.569,8.0,113.7,111.4,2.14
Eastern Conference,Miami Heat*,40,32,.556,9.0,108.1,108.0,-0.06
Eastern Conference,Boston Celtics*,36,36,.500,13.0,112.6,111.2,1.32
Eastern Conference,Washington Wizards*,34,38,.472,15.0,116.6,118.5,-1.85
Eastern Conference,Indiana Pacers,34,38,.472,15.0,115.3,115.3,-0.13
Eastern Conference,Charlotte Hornets,33,39,.458,16.0,109.5,111.4,-1.94
Eastern Conference,Chicago Bulls,31,41,.431,18.0,110.7,111.6,-0.94
Eastern Conference,Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54
Eastern Conference,Cleveland Cavaliers,22,50,.306,27.0,103.8,112.3,-8.19
Eastern Conference,Orlando Magic,21,51,.292,28.0,104.0,113.3,-9.02
Eastern Conference,Detroit Pistons,20,52,.278,29.0,106.6,111.1,-4.38
