Conference,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Cleaned Team,Team ID,TEAM_ID,TEAM_NAME,GP,W_y,L_y,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
Western Conference,Denver Nuggets*,53,29,0.646,—,115.8,112.5,3.04,2022-23,Denver Nuggets,1610612743,1610612743,Denver Nuggets,82,53,29,0.646,3951.0,115.0,116.8,111.7,113.5,3.3,3.3,0.663,1.99,20.5,0.289,0.727,0.514,0.147,0.573,0.601,100.3,98.74,82.28,8129,0.525,1,4,4,4,25,5,15,6,2,5,1,12,11,4,23,1,3,24,3
Western Conference,Memphis Grizzlies*,51,31,0.622,2.0,116.9,113.0,3.6,2022-23,Memphis Grizzlies,1610612763,1610612763,Memphis Grizzlies,82,51,31,0.622,3956.0,112.3,114.7,108.3,110.7,4.0,4.0,0.596,1.91,18.2,0.302,0.711,0.507,0.133,0.54,0.57,103.7,101.5,84.58,8360,0.519,1,5,5,5,22,11,3,4,19,7,15,6,22,8,9,21,25,8,6
Western Conference,Sacramento Kings*,48,34,0.585,5.0,120.7,118.1,2.3,2022-23,Sacramento Kings,1610612758,1610612758,Sacramento Kings,82,48,34,0.585,3966.0,117.0,118.6,114.1,116.0,2.9,2.6,0.626,2.02,19.3,0.265,0.731,0.499,0.133,0.572,0.608,102.5,100.99,84.16,8343,0.511,1,7,7,7,12,1,24,8,7,2,3,23,6,17,6,2,1,12,11
Western Conference,Phoenix Suns*,45,37,0.549,8.0,113.6,111.6,2.08,2022-23,Phoenix Suns,1610612756,1610612756,Phoenix Suns,82,45,37,0.549,3956.0,112.1,114.5,110.1,112.3,2.1,2.2,0.647,2.01,19.3,0.307,0.714,0.508,0.136,0.535,0.57,100.8,98.83,82.36,8141,0.514,1,9,9,9,22,14,7,9,3,3,4,5,21,7,10,22,24,22,7
Western Conference,Los Angeles Clippers*,44,38,0.537,9.0,113.6,113.1,0.31,2022-23,Los Angeles Clippers,1610612746,1610612746,LA Clippers,82,44,38,0.537,3966.0,112.4,114.0,112.0,113.6,0.3,0.5,0.581,1.68,17.5,0.273,0.731,0.505,0.143,0.551,0.588,100.2,98.84,82.37,8168,0.498,1,11,11,11,12,17,17,17,21,26,23,21,7,11,18,11,11,21,18
Western Conference,Golden State Warriors*,44,38,0.537,9.0,118.9,117.1,1.66,2022-23,Golden State Warriors,1610612744,1610612744,Golden State Warriors,82,44,38,0.537,3966.0,113.5,115.1,111.4,113.4,2.1,1.7,0.691,1.83,20.4,0.277,0.719,0.502,0.158,0.571,0.6,104.2,102.54,85.45,8472,0.51,1,11,11,11,12,10,14,11,1,13,2,16,16,14,29,3,4,1,12
Western Conference,Los Angeles Lakers*,43,39,0.524,10.0,117.2,116.6,0.43,2022-23,Los Angeles Lakers,1610612747,1610612747,Los Angeles Lakers,82,43,39,0.524,3976.0,111.8,113.9,111.5,113.2,0.3,0.7,0.589,1.8,17.9,0.269,0.727,0.505,0.137,0.542,0.582,103.6,101.92,84.93,8436,0.511,1,14,14,14,5,19,12,16,20,17,18,22,10,10,11,18,17,4,10
Western Conference,Minnesota Timberwolves*,42,40,0.512,11.0,115.8,115.8,-0.22,2022-23,Minnesota Timberwolves,1610612750,1610612750,Minnesota Timberwolves,82,42,40,0.512,3966.0,111.3,113.3,111.1,113.1,0.2,0.2,0.61,1.71,18.6,0.258,0.703,0.485,0.15,0.56,0.592,103.4,101.55,84.62,8383,0.503,1,15,15,15,12,23,10,18,12,24,10,26,26,27,25,8,8,7,16
Western Conference,New Orleans Pelicans,42,40,0.512,11.0,114.4,112.5,1.63,2022-23,New Orleans Pelicans,1610612740,1610612740,New Orleans Pelicans,82,42,40,0.512,3971.0,111.8,113.8,109.9,112.0,1.9,1.9,0.616,1.77,18.5,0.29,0.732,0.512,0.145,0.543,0.582,101.4,99.58,82.98,8239,0.514,1,15,15,15,8,20,6,10,10,19,12,9,5,5,20,17,16,16,8
Western Conference,Oklahoma City Thunder,40,42,0.488,13.0,117.5,116.4,0.96,2022-23,Oklahoma City Thunder,1610612760,1610612760,Oklahoma City Thunder,82,40,42,0.488,3971.0,112.3,114.2,111.4,113.2,0.8,1.0,0.567,1.87,17.2,0.289,0.693,0.487,0.127,0.531,0.57,103.6,101.94,84.95,8435,0.498,1,19,19,19,8,16,13,15,27,9,26,10,28,25,4,24,23,3,20
Western Conference,Dallas Mavericks,38,44,0.463,15.0,114.2,114.1,-0.14,2022-23,Dallas Mavericks,1610612742,1610612742,Dallas Mavericks,82,38,44,0.463,3986.0,114.3,115.9,114.0,116.1,0.3,-0.2,0.573,1.88,17.4,0.226,0.717,0.471,0.124,0.565,0.599,98.8,97.21,81.01,8082,0.487,1,21,21,21,3,6,25,20,25,8,24,30,17,30,2,5,6,28,23
Western Conference,Utah Jazz,37,45,0.451,16.0,117.1,118.0,-1.03,2022-23,Utah Jazz,1610612762,1610612762,Utah Jazz,82,37,45,0.451,3961.0,112.7,115.3,113.8,116.0,-1.1,-0.7,0.611,1.69,18.2,0.308,0.711,0.512,0.151,0.547,0.584,103.1,101.02,84.18,8329,0.498,1,22,22,22,18,9,23,22,11,25,14,4,23,6,28,15,14,11,19
Western Conference,Portland Trail Blazers,33,49,0.402,20.0,113.4,117.4,-3.96,2022-23,Portland Trail Blazers,1610612757,1610612757,Portland Trail Blazers,82,33,49,0.402,3946.0,112.0,114.0,116.0,118.0,-4.0,-4.0,0.597,1.67,17.8,0.264,0.709,0.486,0.145,0.549,0.589,101.0,99.25,82.71,8157,0.474,1,26,26,26,29,18,28,26,18,27,19,24,25,26,21,14,10,17,26
Western Conference,Houston Rockets,22,60,0.268,31.0,110.7,118.6,-7.62,2022-23,Houston Rockets,1610612745,1610612745,Houston Rockets,82,22,60,0.268,3951.0,107.7,110.5,116.9,118.6,-9.2,-8.1,0.551,1.38,16.0,0.344,0.729,0.53,0.162,0.516,0.554,101.8,99.74,83.11,8220,0.457,1,28,28,28,25,27,29,29,29,30,30,1,9,1,30,30,29,14,28
Western Conference,San Antonio Spurs,22,60,0.268,31.0,113.0,123.1,-9.82,2022-23,San Antonio Spurs,1610612759,1610612759,San Antonio Spurs,82,22,60,0.268,3971.0,107.2,109.7,117.7,119.6,-10.5,-9.9,0.632,1.78,18.7,0.299,0.709,0.495,0.148,0.525,0.554,104.1,102.07,85.06,8451,0.452,1,28,28,28,8,29,30,30,6,18,8,7,24,21,24,26,28,2,29
