Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Giannis Antetokounmpo,26,6,6,239,.658,.630,10.8,27.1,18.5,22.4,1.5,4.0,8.0,31.6,135,111,31.9
2,Khris Middleton,29,6,6,255,.542,.512,0.8,17.3,8.5,19.2,1.8,0.0,12.5,25.9,108,115,16.2
3,Jrue Holiday,30,6,6,250,.441,.412,2.8,13.9,8.2,31.2,2.6,1.4,10.3,21.9,107,113,15.2
4,Brook Lopez,32,6,6,147,.553,.526,7.7,17.3,12.3,1.3,1.4,2.6,8.8,20.2,111,115,8.2
5,Pat Connaughton,28,6,0,180,.659,.663,5.6,17.0,11.0,5.1,0.3,0.0,10.7,11.2,127,120,7.3
6,Bobby Portis,25,6,0,100,.545,.513,11.1,16.3,13.7,1.5,2.1,1.7,2.3,18.8,123,110,6.3
7,P.J. Tucker,35,6,6,188,.600,.600,6.5,6.8,6.7,4.7,1.6,0.0,13.0,5.3,130,117,4.2
8,Bryn Forbes,27,3,0,22,.450,.450,0.0,5.0,2.4,0.0,2.3,0.0,9.1,22.1,83,120,0.9
9,Jeff Teague,32,6,0,56,.356,.250,4.3,6.5,5.2,8.4,2.8,0.0,19.2,12.3,81,117,1.1
10,Jordan Nwora,22,1,0,1,1.500,1.500,0.0,92.3,44.5,0.0,0.0,0.0,0.0,33.4,300,98,3.0
11,Thanasis Antetokounmpo,28,1,0,2,.000,.000,72.0,100.0,100.0,0.0,0.0,0.0,0.0,56.1,45,87,-0.5
12,Elijah Bryant,25,1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,139,0.0
13,Sam Merrill,24,1,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,112,0.0
,Team Totals,28.7,6,,1440,.560,.529,29.2,82.6,54.3,55.0,8.3,6.2,10.2,,116.3,113.8
