Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Jaylen Brown,25,6,6,233,.544,.500,5.5,15.8,10.8,17.5,1.1,1.0,13.4,28.8,103,113,15.1,brownja02
2,Jayson Tatum,23,6,6,244,.481,.450,2.1,16.3,9.4,28.7,1.5,1.7,14.6,28.7,98,112,13.8,tatumja01
3,Marcus Smart,27,6,6,213,.540,.519,3.3,11.1,7.3,23.7,2.2,0.0,18.4,21.6,101,112,10.3,smartma01
4,Al Horford,35,6,6,191,.777,.779,6.3,23.7,15.2,13.9,1.1,2.2,17.2,13.7,129,109,12.8,horfoal01
5,Derrick White,27,6,0,159,.482,.418,0.7,5.6,3.2,12.8,1.3,2.0,14.1,20.1,91,115,5.3,whitede01
6,Robert Williams,24,6,6,158,.786,.769,12.4,19.8,16.0,9.9,1.6,11.8,12.3,9.2,154,104,11.7,williro04
7,Grant Williams,23,6,0,102,.636,.618,3.5,12.1,8.1,8.4,0.5,4.0,16.9,10.3,114,112,3.3,willigr01
8,Payton Pritchard,24,6,0,67,.383,.375,7.4,14.8,11.4,14.1,0.7,0.0,19.3,17.5,74,115,1.6,pritcpa01
9,Aaron Nesmith,22,5,0,16,.451,.333,7.0,21.9,14.4,28.6,3.1,0.0,0.0,21.9,112,107,1.4,nesmiaa01
10,Luke Kornet,26,3,0,6,1.250,1.250,0.0,36.4,18.9,48.6,0.0,0.0,33.3,22.7,166,107,1.6,kornelu01
11,Malik Fitts,24,3,0,6,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,300,118,0.9,fittsma01
12,Sam Hauser,24,5,0,11,.500,.500,0.0,0.0,0.0,32.8,0.0,0.0,0.0,12.4,122,118,0.5,hausesa01
13,Nik Stauskas,28,5,0,9,.375,.375,0.0,38.3,19.4,33.0,0.0,0.0,0.0,20.4,88,112,0.4,stausni01
14,Daniel Theis,29,2,0,20,.750,.750,0.0,27.4,13.8,7.8,0.0,10.3,33.3,6.7,60,108,2.1,theisda01
15,Juwan Morgan,24,4,0,5,,,0.0,21.7,10.9,0.0,0.0,0.0,,0.0,,117,0.1,morgaju01
,Team Totals,25.8,6,,1440,.554,.522,23.3,77.3,50.9,70.7,6.5,13.2,15.6,,105.8,110.0,,-9999
