Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Jayson Tatum,25,5,5,201,.505,.439,2.2,20.1,10.9,30.7,1.3,1.3,12.7,29.7,105,107,16.4
2,Jaylen Brown,27,5,5,193,.535,.488,2.3,13.9,8.0,23.0,2.2,1.7,12.6,27.4,106,107,14.9
3,Jrue Holiday,33,5,5,189,.623,.607,7.7,14.4,11.0,16.3,0.8,1.6,10.8,16.2,125,110,13.4
4,Derrick White,29,5,5,184,.591,.546,4.2,11.1,7.5,10.7,1.7,2.5,9.3,16.6,118,109,11.6
5,Sam Hauser,26,5,0,78,.735,.722,7.2,14.7,10.9,6.4,0.7,0.0,0.0,17.0,144,113,6.9
6,Kristaps Porziņģis,28,3,0,60,.672,.625,0.0,20.1,10.1,2.7,0.0,7.2,3.5,22.2,130,100,10.0
7,Al Horford,37,5,5,150,.676,.680,3.7,20.2,11.7,13.4,2.1,1.7,10.4,9.1,136,106,8.8
8,Payton Pritchard,26,5,0,62,.304,.304,3.6,9.6,6.4,23.6,0.8,0.0,9.7,24.1,65,117,0.9
9,Oshae Brissett,25,3,0,19,.717,.625,6.0,12.9,9.3,0.0,0.0,4.8,0.0,12.8,146,127,2.3
10,Xavier Tillman Sr.,25,2,0,19,.872,.833,12.1,20.9,16.1,11.4,0.0,8.4,22.5,11.7,136,114,3.5
11,Svi Mykhailiuk,26,3,0,13,.313,.313,0.0,13.9,8.6,0.0,0.0,0.0,0.0,29.4,53,127,0.3
12,Luke Kornet,28,3,0,15,.500,.500,14.7,0.0,7.2,21.7,3.5,0.0,0.0,6.3,143,120,1.3
13,Neemias Queta,24,1,0,5,1.000,1.000,0.0,0.0,0.0,0.0,0.0,16.4,0.0,9.0,200,129,2.4
14,Jaden Springer,21,1,0,8,.000,.000,0.0,29.9,14.4,0.0,0.0,0.0,0.0,6.1,0,130,-0.1
15,Jordan Walsh,19,1,0,5,.000,.000,0.0,22.2,10.7,0.0,0.0,0.0,0.0,18.0,0,132,-1.1
,Team Totals,28.5,5,,1200,.558,.520,20.9,77.8,48.8,66.5,6.8,10.1,11.1,,111.0,108.4
