Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,LeBron James,35,6,6,236,.671,.657,5.8,30.0,17.5,40.4,1.5,1.3,13.6,29.0,131,110,27.5,jamesle01
2,Anthony Davis,26,6,6,229,.669,.612,9.6,23.1,16.3,14.9,1.8,5.2,12.5,24.8,128,108,22.8,davisan02
3,Kentavious Caldwell-Pope,26,6,6,188,.512,.471,2.4,8.7,5.3,9.9,1.6,0.5,5.1,18.8,113,114,8.4,caldwke01
4,Rajon Rondo,33,6,0,156,.495,.459,4.4,20.2,11.7,29.5,2.0,0.0,16.0,17.8,110,111,8.6,rondora01
5,Kyle Kuzma,24,6,0,130,.487,.448,5.3,9.3,7.4,2.9,0.4,0.7,11.8,20.2,94,117,3.7,kuzmaky01
6,Danny Green,32,6,6,137,.451,.439,3.2,11.1,7.1,7.1,2.3,3.3,9.1,17.8,93,110,4.8,greenda02
7,Markieff Morris,30,6,0,128,.554,.526,4.4,14.8,9.1,8.7,0.0,0.0,12.9,16.2,106,118,4.1,morrima02
8,Alex Caruso,25,6,1,149,.567,.533,5.2,6.0,5.8,12.3,1.7,0.6,19.3,12.4,111,114,5.3,carusal01
9,Dwight Howard,34,6,5,71,.767,.813,9.9,17.1,13.7,7.7,0.7,3.1,31.1,10.0,120,117,2.5,howardw01
10,Quinn Cook,26,2,0,3,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,76,110,1.0,cookqu01
11,J.R. Smith,34,3,0,10,.500,.500,0.0,13.5,5.9,0.0,4.8,0.0,0.0,12.8,99,112,0.5,smithjr01
12,Jared Dudley,34,3,0,3,.000,.000,0.0,0.0,0.0,0.0,0.0,31.4,0.0,15.8,0,78,0.0,dudleja01
,Team Totals,29.5,6,,1440,.582,.547,27.3,83.7,54.5,63.3,7.3,9.0,13.0,,116.9,111.1,,-9999
