Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Luka Dončić,24,5,5,194,.530,.516,0.0,25.2,12.8,28.6,3.5,0.0,14.3,38.7,100,105,18.9,doncilu01
2,Kyrie Irving,31,5,5,195,.481,.455,1.2,7.5,4.4,21.2,0.8,0.0,8.0,26.8,102,118,11.6,irvinky01
3,P.J. Washington,25,5,5,163,.529,.477,4.1,17.1,10.8,6.4,0.0,1.8,15.0,17.2,100,117,6.4,washipj01
4,Daniel Gafford,25,5,5,74,.733,.727,13.8,19.4,16.9,4.8,0.7,4.9,3.5,17.7,152,111,8.3,gaffoda01
5,Derrick Jones Jr.,26,5,5,116,.512,.483,5.0,8.7,6.8,3.8,1.4,2.8,3.0,13.4,111,115,5.4,jonesde02
6,Dereck Lively II,19,5,0,114,.697,.735,16.8,24.6,20.8,2.7,1.9,0.8,19.9,10.2,131,110,6.9,livelde01
7,Josh Green,23,5,0,97,.596,.600,6.0,10.4,8.3,3.9,1.1,0.0,0.0,11.0,130,116,4.7,greenjo02
8,Jaden Hardy,21,5,0,33,.563,.500,3.7,17.1,10.2,23.8,0.0,0.0,5.1,28.0,126,110,3.1,hardyja02
9,Dante Exum,28,5,0,41,.873,.900,0.0,13.6,6.8,6.9,1.3,0.0,21.6,15.5,126,110,2.9,exumda01
10,Tim Hardaway Jr.,31,4,0,48,.500,.500,0.0,14.2,7.5,3.9,1.1,0.0,0.0,14.4,89,114,2.2,hardati02
11,Maxi Kleber,32,5,0,80,.349,.292,1.4,8.4,5.0,5.1,0.7,1.5,7.2,8.1,81,113,0.8,klebima01
12,Markieff Morris,34,1,0,12,.300,.300,0.0,37.2,19.3,0.0,0.0,0.0,16.7,22.1,57,92,-0.3,morrima02
13,A.J. Lawson,23,2,0,11,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,110,107,0.5,lawsoaj01
14,Dwight Powell,32,3,0,16,,,7.7,21.4,14.7,13.3,0.0,0.0,100.0,2.8,108,107,0.4,poweldw01
15,Olivier-Maxence Prosper,21,2,0,8,.000,.000,0.0,41.7,21.3,13.0,0.0,0.0,0.0,11.0,41,98,0.1,prospol01
,Team Totals,26.2,5,,1200,.539,.516,22.2,79.1,51.2,43.8,6.3,5.2,11.0,,108.4,111.0,,-9999
