Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Stephen Curry,33,6,6,225,.626,.595,0.9,17.4,8.9,25.1,2.7,0.4,9.1,32.7,119,106,23.2
2,Andrew Wiggins,26,6,6,235,.515,.500,5.6,19.4,12.5,8.8,2.0,3.8,9.3,22.6,103,105,14.1
3,Klay Thompson,31,6,6,230,.484,.455,0.9,8.1,4.5,8.1,1.8,1.3,6.2,22.0,99,111,9.7
4,Jordan Poole,22,6,0,125,.591,.556,0.9,9.7,5.1,15.3,1.2,0.8,15.2,28.4,104,113,7.4
5,Draymond Green,31,6,6,217,.391,.357,6.9,18.7,12.5,22.8,2.3,1.8,24.1,12.8,97,106,7.5
6,Gary Payton II,29,5,0,93,.663,.636,4.7,14.3,9.5,11.0,4.4,2.1,7.0,13.9,135,95,7.4
7,Otto Porter Jr.,28,6,3,102,.867,.853,2.3,12.1,6.8,8.5,3.0,1.1,10.1,8.8,149,110,5.7
8,Kevon Looney,25,6,3,130,.656,.636,17.7,20.9,19.6,17.9,1.5,4.2,30.4,11.4,124,105,7.3
9,Nemanja Bjelica,33,5,0,29,.563,.563,2.8,27.3,15.7,4.7,3.5,0.0,20.0,15.5,94,96,1.4
10,Andre Iguodala,38,4,0,19,.875,.875,0.0,0.0,0.0,40.1,0.0,0.0,20.0,11.6,157,129,1.7
11,Moses Moody,19,4,0,11,1.000,1.000,0.0,0.0,0.0,0.0,0.0,8.2,0.0,4.1,200,109,0.6
12,Jonathan Kuminga,19,4,0,8,.000,.000,0.0,15.0,7.7,0.0,0.0,0.0,0.0,6.0,0,111,-0.1
13,Damion Lee,29,4,0,8,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,116,-0.7
14,Juan Toscano-Anderson,28,4,0,8,.000,.000,0.0,28.5,14.1,40.7,0.0,0.0,66.7,17.2,52,108,-0.2
,Team Totals,27.7,6,,1440,.560,.533,22.7,76.7,49.1,60.5,10.8,9.5,12.9,,110.0,105.8,
