Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Jimmy Butler,30,6,6,258,.658,.573,7.3,15.3,11.5,41.2,2.6,2.2,13.1,25.4,134,114,27.7
2,Tyler Herro,20,6,5,208,.468,.431,0.6,12.8,7.0,14.5,0.7,0.0,13.0,24.8,88,121,7.6
3,Duncan Robinson,25,6,6,192,.640,.577,0.7,9.1,4.9,12.3,1.3,1.3,6.4,15.4,124,118,9.5
4,Jae Crowder,29,6,6,189,.564,.536,2.6,15.7,9.7,5.9,0.6,1.7,6.3,15.8,107,118,7.3
5,Kendrick Nunn,24,6,0,135,.587,.559,2.7,15.2,9.0,14.5,0.0,0.7,13.0,21.7,105,122,6.8
6,Bam Adebayo,22,4,4,135,.569,.535,5.0,16.1,10.6,13.6,0.4,2.1,13.0,21.5,108,118,11.0
7,Kelly Olynyk,28,5,0,114,.621,.573,4.2,24.9,15.2,9.5,0.9,2.6,7.9,21.7,116,116,9.2
8,Andre Iguodala,36,6,0,118,.500,.500,4.0,12.2,7.9,14.2,0.9,1.8,13.6,8.8,107,121,3.0
9,Meyers Leonard,27,2,2,22,1.017,1.000,0.0,4.9,2.7,8.6,2.2,0.0,0.0,15.4,199,119,6.3
10,Solomon Hill,28,4,0,25,.667,.667,0.0,14.3,6.4,-52.2,2.1,0.0,0.0,16.7,124,118,2.3
11,Goran Dragić,33,2,1,34,.326,.313,3.3,16.5,9.7,24.6,4.5,0.0,10.6,26.2,74,109,3.5
12,Derrick Jones Jr.,22,4,0,10,.500,.500,0.0,12.2,5.4,0.0,0.0,0.0,33.3,14.2,59,124,0.1
,Team Totals,25.6,6,,1440,.582,.534,16.3,72.7,45.5,66.4,5.8,7.0,12.1,,111.1,116.9
