Conference,Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Western Conference,Utah Jazz*,52,20,.722,—,116.4,107.2,8.97
Western Conference,Phoenix Suns*,51,21,.708,1.0,115.3,109.5,5.67
Western Conference,Denver Nuggets*,47,25,.653,5.0,115.1,110.1,4.82
Western Conference,Los Angeles Clippers*,47,25,.653,5.0,114.0,107.8,6.02
Western Conference,Dallas Mavericks*,42,30,.583,10.0,112.4,110.2,2.26
Western Conference,Portland Trail Blazers*,42,30,.583,10.0,116.1,114.3,1.81
Western Conference,Los Angeles Lakers*,42,30,.583,10.0,109.5,106.8,2.77
Western Conference,Golden State Warriors,39,33,.542,13.0,113.7,112.7,1.10
Western Conference,Memphis Grizzlies*,38,34,.528,14.0,113.3,112.3,1.07
Western Conference,San Antonio Spurs,33,39,.458,19.0,111.1,112.8,-1.58
Western Conference,New Orleans Pelicans,31,41,.431,21.0,114.6,114.9,-0.20
Western Conference,Sacramento Kings,31,41,.431,21.0,113.7,117.4,-3.45
Western Conference,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,-5.25
Western Conference,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,-10.13
Western Conference,Houston Rockets,17,55,.236,35.0,108.8,116.7,-7.50
